script	linhas	cobertura	achados	sha256
minimax_h3_backend.py	668	Revisão dirigida + triagem		1906c0d50a0398d023b9ecd33f60ba0d4e32e3422bb85e3dc5103f104acc2aa4
minimax_h3_test_ui.py	209	Triagem estática/textual		334df437076ce010c28233ae81602e79ba597085cbd9443953cd143f7f395a96
music_maker_ui.py	1037	Triagem estática/textual		e8f1c4e6a9b4d725cceaa64ddb75109b298a98408c1826324663745f4095c693
music_maker_ui_gguf.py	1739	Revisão dirigida + triagem	A01	b140c8115458e9bf00ee9d4a7e4e5a29937616872f77b9cf76b3e88fc4e9886a
music_maker_ui_v2.py	1739	Revisão dirigida + triagem	A01	b95e029e900152f98068a608ac6cdb73c12ecd71ea03ab6a815f7535c95c8dfd
music_maker_ui_v2_25.py	1795	Revisão dirigida + triagem	A01	cdd43c0f09fbe976e7442eb4038834d95bd5f5451e454c93d80045f71e59bc21
music_maker_ui_v3.py	1951	Revisão dirigida + triagem	A01	3aa5e91d4f33ebcbbff717383cfda66afcdfca442604217c66a26a09d4649224
music_maker_ui_v3_25.py	1967	Revisão dirigida + triagem	A01	fadf0814401ffe45488f778b69be0de6eaa9a4f54dc6207bb4019d1547d4c051
packages/ltx-core/src/ltx_core/__init__.py	0	Triagem estática/textual		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
packages/ltx-core/src/ltx_core/components/__init__.py	10	Triagem estática/textual		e2d4249974369c570acf45b36bf493dda63d7e0516f803b6e566385dd9a127d7
packages/ltx-core/src/ltx_core/components/diffusion_steps.py	95	Triagem estática/textual		c7ff8d2ce76d084a378c20a55949424cf0de234e5834bf405a07efcdbdc4ff4b
packages/ltx-core/src/ltx_core/components/guiders.py	364	Triagem estática/textual		6570b863c48666a474a8ceaff0ae1d38f2f11d964aa944a3c627185edf1a5a1c
packages/ltx-core/src/ltx_core/components/noisers.py	35	Triagem estática/textual		a2d42ebeb4f3bf210eee926250f6dd52d37c850011103ee11f80337209cb01be
packages/ltx-core/src/ltx_core/components/patchifiers.py	348	Triagem estática/textual		639b0fa34793d66ced7128fe624014a5e13c113f4dd530ae1807ddf759a04ee7
packages/ltx-core/src/ltx_core/components/protocols.py	101	Triagem estática/textual		0d5376f7e6c660e106bfdc63a7d1ec4e525536c67c1ad32c9499d7aa5893dbda
packages/ltx-core/src/ltx_core/components/schedulers.py	130	Triagem estática/textual		92830be18780ae2b749773bbe3662fbe966682e6a9b70de50b13d34e6c5be18d
packages/ltx-core/src/ltx_core/conditioning/__init__.py	19	Triagem estática/textual		8f675a21d26428e789b9953f1bc43c10ef6fcfce7b6869c37830460d709222a0
